"Date" "Price"
2005-01-01 100
2005-01-02 100.024478312145
2005-01-03 99.9864613978356
2005-01-04 100.048024462591
2005-01-05 99.9925908485518
2005-01-06 100.01056035066
2005-01-07 100.044387212893
2005-01-08 99.9600551560759
2005-01-09 99.8988212888534
2005-01-10 99.9121770201138
2005-01-11 100.056599761099
2005-01-12 100.024007648546
2005-01-13 99.9686443473851
2005-01-14 99.9720990569268
2005-01-15 99.9941809327144
2005-01-16 99.9840731631944
2005-01-17 99.9501693972805
2005-01-18 99.94480627964
2005-01-19 99.9382323888958
2005-01-20 99.9814619703406
2005-01-21 99.9345342729693
2005-01-22 99.9823661463324
2005-01-23 99.901315851701
2005-01-24 99.8770035778228
2005-01-25 99.9990990647415
2005-01-26 100.067810473691
2005-01-27 100.142643643828
2005-01-28 100.111856321546
2005-01-29 100.12468283168
2005-01-30 100.042371744393
2005-01-31 100.066421918758
2005-02-01 100.09257059965
2005-02-02 100.084165088903
2005-02-03 100.022583187838
2005-02-04 100.093255716475
2005-02-05 100.082674676055
2005-02-06 100.063867371816
2005-02-07 100.20571374315
2005-02-08 100.323475413745
2005-02-09 100.33593178769
2005-02-10 100.352831973139
2005-02-11 100.313133884149
2005-02-12 100.409429604665
2005-02-13 100.323199756173
2005-02-14 100.361287795128
2005-02-15 100.378095673542
2005-02-16 100.490575684906
2005-02-17 100.523918068767
2005-02-18 100.540000096022
2005-02-19 100.469235818334
2005-02-20 100.383707586886
2005-02-21 100.367199963892
2005-02-22 100.471849763522
2005-02-23 100.4682611906
2005-02-24 100.514438359244
2005-02-25 100.472946777742
2005-02-26 100.508475539344
2005-02-27 100.496583810808
2005-02-28 100.518368816437
2005-03-01 100.535567193159
2005-03-02 100.543528066371
2005-03-03 100.655202538207
2005-03-04 100.590312594119
2005-03-05 100.610138986152
2005-03-06 100.668399809359
2005-03-07 100.639686678241
2005-03-08 100.641628278227
2005-03-09 100.70667832407
2005-03-10 100.727693986799
2005-03-11 100.69231198525
2005-03-12 100.664724220849
2005-03-13 100.677057382425
2005-03-14 100.727154631507
2005-03-15 100.712004370215
2005-03-16 100.741546323336
2005-03-17 100.742665986592
2005-03-18 100.827839290079
2005-03-19 100.856106328742
2005-03-20 100.867439333668
2005-03-21 100.986375706257
2005-03-22 100.967545277797
2005-03-23 100.973765476587
2005-03-24 100.941335034946
2005-03-25 101.005347679995
2005-03-26 101.027386115414
2005-03-27 101.043308097169
2005-03-28 101.065631511008
2005-03-29 100.987669636623
2005-03-30 100.961901726234
2005-03-31 100.943857030936
2005-04-01 101.003566762171
2005-04-02 101.018732250532
2005-04-03 101.082628347214
2005-04-04 101.069139926891
2005-04-05 101.075670524499
2005-04-06 101.12637464862
2005-04-07 101.073995466743
2005-04-08 101.271942106392
2005-04-09 101.312119997509
2005-04-10 101.387011564745
2005-04-11 101.393525729898
2005-04-12 101.378167918805
2005-04-13 101.426694818696
2005-04-14 101.4169812939
2005-04-15 101.572636609356
2005-04-16 101.499767903889
2005-04-17 101.465649253953
2005-04-18 101.605576758486
2005-04-19 101.542064844765
2005-04-20 101.542154501099
2005-04-21 101.595180478468
